county,total households,owner,tenant
Tazewell County,17042,12923,4119
Falls Church,5262,3243,2019
Manassas Park,4706,3098,1608
Poquoson,4615,3849,766
Sussex County,3814,2564,1250
Waynesboro,9144,5359,3785
Roanoke,42037,21783,20254
Salem,9881,6415,3466
Norfolk,88155,38029,50126
Charlotte County,4543,3156,1387
Fairfax County,394447,268346,126101
Greensville County,3688,2698,990
James City County,28766,21434,7332
Russell County,10965,8343,2622
Smyth County,12881,9193,3688
Lexington,1984,1050,934
Campbell County,22957,17271,5686
Henry County,21598,15629,5969
King George County,9103,7014,2089
Lancaster County,5142,3890,1252
Lee County,9149,6465,2684
Mathews County,3908,3406,502
Middlesex County,4454,3585,869
Prince George County,11415,7648,3767
Rockingham County,30946,22832,8114
Scott County,8767,6833,1934
Surry County,2760,2121,639
Appomattox County,6095,4733,1362
Franklin County,23104,18447,4657
King and Queen County,2826,2362,464
Montgomery County,35483,19530,15953
New Kent County,7754,6606,1148
Cumberland County,3963,2892,1071
Goochland County,8426,7157,1269
Halifax County,14025,10476,3549
Madison County,5078,3714,1364
Prince William County,140473,102811,37662
Southampton County,6522,4771,1751
Highland County,1123,920,203
Brunswick County,6048,4336,1712
Caroline County,10911,8868,2043
Gloucester County,14759,11261,3498
Northampton County,5151,3371,1780
Patrick County,7685,5878,1807
Powhatan County,10178,9119,1059
Rockbridge County,8979,7033,1946
Shenandoah County,17315,12229,5086
Fauquier County,24333,19017,5316
Charles City County,2856,2387,469
Culpeper County,16903,12539,4364
Dinwiddie County,10391,7900,2491
Greene County,7357,5898,1459
Hanover County,38599,31513,7086
Lunenburg County,4331,3088,1243
Orange County,13453,10448,3005
Harrisonburg,16768,6398,10370
Emporia,2119,879,1240
Wythe County,11955,9112,2843
Chesapeake,84230,60083,24147
Albemarle County,40612,25391,15221
Bedford County,31206,25472,5734
Botetourt County,13161,11353,1808
Wise County,15126,9980,5146
Bristol,7402,4362,3040
Portsmouth,36471,19810,16661
Williamsburg,4670,2301,2369
Alleghany County,6741,5237,1504
Carroll County,12375,9526,2849
Washington County,22331,16799,5532
Northumberland County,5686,4852,834
Page County,9338,6546,2792
Warren County,14379,11072,3307
Alexandria,69979,29989,39990
Fredericksburg,10582,3829,6753
Hampton,53700,30167,23533
Arlington County,104716,45504,59212
Hopewell,9193,4572,4621
Buchanan County,8871,6925,1946
Frederick County,30973,24065,6908
Stafford County,46328,35289,11039
York County,24617,17676,6941
Richmond,89846,37956,51890
Nelson County,6445,4787,1658
Pittsylvania County,26330,19750,6580
Norton,1819,843,976
Fluvanna County,9842,8256,1586
Amelia County,4789,4036,753
Winchester,10554,4950,5604
Accomack County,13401,9093,4308
Floyd County,6480,5326,1154
Grayson County,6542,5184,1358
Nottoway County,5542,3396,2146
Buena Vista,2539,1694,845
Petersburg,13274,5376,7898
Fairfax,8553,6066,2487
Manassas,12749,8301,4448
Suffolk,33198,23001,10197
Chesterfield County,123010,92822,30188
Isle of Wight County,14304,10692,3612
Franklin,3526,1755,1771
Charlottesville,18613,8045,10568
Henrico County,127111,79703,47408
King William County,6170,5321,849
Louisa County,13575,10818,2757
Prince Edward County,7187,4808,2379
Richmond County,3139,2262,877
Spotsylvania County,43677,33923,9754
Clarke County,5639,4216,1423
Mecklenburg County,11815,8257,3558
Augusta County,29297,23110,6187
Dickenson County,5841,4456,1385
Loudoun County,125309,97513,27796
Roanoke County,38343,28403,9940
Colonial Heights,7054,4484,2570
Bland County,2523,2087,436
Buckingham County,5827,4385,1442
Covington,2409,1771,638
Virginia Beach,169290,108486,60804
Galax,2742,1799,943
Westmoreland County,7612,5669,1943
Pulaski County,14525,10507,4018
Danville,18479,9878,8601
Amherst County,12044,9349,2695
Bath County,1999,1443,556
Newport News,69324,34043,35281
Lynchburg,28069,13953,14116
Martinsville,5630,3283,2347
Essex County,4463,3108,1355
Staunton,10520,5974,4546
Radford,5438,2676,2762
Craig County,2266,1636,630
Giles County,6987,5363,1624
Rappahannock County,2976,2196,780
